"hexagon_id","geom_wkt"
37,"POLYGON((5000 580237.020535574,10000 571576.7664977295,20000 571576.7664977295,25000 580237.020535574,20000 588897.2745734183,10000 588897.2745734183,5000 580237.020535574))"
38,"POLYGON((5000 597557.5286112627,10000 588897.2745734183,20000 588897.2745734183,25000 597557.5286112627,20000 606217.782649107,10000 606217.782649107,5000 597557.5286112627))"
39,"POLYGON((5000 614878.0366869514,10000 606217.782649107,20000 606217.782649107,25000 614878.0366869514,20000 623538.2907247958,10000 623538.2907247958,5000 614878.0366869514))"
40,"POLYGON((5000 632198.5447626403,10000 623538.2907247958,20000 623538.2907247958,25000 632198.5447626403,20000 640858.7988004846,10000 640858.7988004846,5000 632198.5447626403))"
41,"POLYGON((20000 311769.1453623979,25000 303108.8913245535,35000 303108.8913245535,40000 311769.1453623979,35000 320429.3994002423,25000 320429.3994002423,20000 311769.1453623979))"
42,"POLYGON((20000 329089.6534380867,25000 320429.3994002423,35000 320429.3994002423,40000 329089.6534380867,35000 337749.90747593105,25000 337749.90747593105,20000 329089.6534380867))"
43,"POLYGON((20000 346410.16151377547,25000 337749.90747593105,35000 337749.90747593105,40000 346410.16151377547,35000 355070.41555161984,25000 355070.41555161984,20000 346410.16151377547))"
44,"POLYGON((20000 363730.6695894642,25000 355070.41555161984,35000 355070.41555161984,40000 363730.6695894642,35000 372390.9236273086,25000 372390.9236273086,20000 363730.6695894642))"
45,"POLYGON((20000 381051.177665153,25000 372390.9236273086,35000 372390.9236273086,40000 381051.177665153,35000 389711.43170299736,25000 389711.43170299736,20000 381051.177665153))"
46,"POLYGON((20000 398371.6857408418,25000 389711.43170299736,35000 389711.43170299736,40000 398371.6857408418,35000 407031.93977868615,25000 407031.93977868615,20000 398371.6857408418))"
47,"POLYGON((20000 415692.1938165305,25000 407031.93977868615,35000 407031.93977868615,40000 415692.1938165305,35000 424352.44785437494,25000 424352.44785437494,20000 415692.1938165305))"
48,"POLYGON((20000 433012.7018922193,25000 424352.44785437494,35000 424352.44785437494,40000 433012.7018922193,35000 441672.95593006373,25000 441672.95593006373,20000 433012.7018922193))"
49,"POLYGON((20000 450333.2099679081,25000 441672.95593006373,35000 441672.95593006373,40000 450333.2099679081,35000 458993.46400575247,25000 458993.46400575247,20000 450333.2099679081))"
50,"POLYGON((20000 467653.7180435969,25000 458993.46400575247,35000 458993.46400575247,40000 467653.7180435969,35000 476313.97208144126,25000 476313.97208144126,20000 467653.7180435969))"
51,"POLYGON((20000 484974.2261192856,25000 476313.97208144126,35000 476313.97208144126,40000 484974.2261192856,35000 493634.48015713005,25000 493634.48015713005,20000 484974.2261192856))"
52,"POLYGON((20000 502294.7341949744,25000 493634.48015713005,35000 493634.48015713005,40000 502294.7341949744,35000 510954.9882328188,25000 510954.9882328188,20000 502294.7341949744))"
53,"POLYGON((20000 519615.2422706632,25000 510954.9882328188,35000 510954.9882328188,40000 519615.2422706632,35000 528275.4963085075,25000 528275.4963085075,20000 519615.2422706632))"
54,"POLYGON((20000 536935.750346352,25000 528275.4963085075,35000 528275.4963085075,40000 536935.750346352,35000 545596.0043841964,25000 545596.0043841964,20000 536935.750346352))"
55,"POLYGON((20000 554256.2584220407,25000 545596.0043841964,35000 545596.0043841964,40000 554256.2584220407,35000 562916.5124598851,25000 562916.5124598851,20000 554256.2584220407))"
56,"POLYGON((20000 571576.7664977295,25000 562916.5124598851,35000 562916.5124598851,40000 571576.7664977295,35000 580237.020535574,25000 580237.020535574,20000 571576.7664977295))"
57,"POLYGON((20000 588897.2745734183,25000 580237.020535574,35000 580237.020535574,40000 588897.2745734183,35000 597557.5286112627,25000 597557.5286112627,20000 588897.2745734183))"
58,"POLYGON((20000 606217.782649107,25000 597557.5286112627,35000 597557.5286112627,40000 606217.782649107,35000 614878.0366869514,25000 614878.0366869514,20000 606217.782649107))"
59,"POLYGON((20000 623538.2907247958,25000 614878.0366869514,35000 614878.0366869514,40000 623538.2907247958,35000 632198.5447626403,25000 632198.5447626403,20000 623538.2907247958))"
60,"POLYGON((20000 640858.7988004846,25000 632198.5447626403,35000 632198.5447626403,40000 640858.7988004846,35000 649519.052838329,25000 649519.052838329,20000 640858.7988004846))"
61,"POLYGON((35000 303108.8913245535,40000 294448.63728670916,50000 294448.63728670916,55000 303108.8913245535,50000 311769.1453623979,40000 311769.1453623979,35000 303108.8913245535))"
62,"POLYGON((35000 320429.3994002423,40000 311769.1453623979,50000 311769.1453623979,55000 320429.3994002423,50000 329089.6534380867,40000 329089.6534380867,35000 320429.3994002423))"
63,"POLYGON((35000 337749.90747593105,40000 329089.6534380867,50000 329089.6534380867,55000 337749.90747593105,50000 346410.16151377547,40000 346410.16151377547,35000 337749.90747593105))"
64,"POLYGON((35000 355070.41555161984,40000 346410.16151377547,50000 346410.16151377547,55000 355070.41555161984,50000 363730.6695894642,40000 363730.6695894642,35000 355070.41555161984))"
65,"POLYGON((35000 372390.9236273086,40000 363730.6695894642,50000 363730.6695894642,55000 372390.9236273086,50000 381051.177665153,40000 381051.177665153,35000 372390.9236273086))"
66,"POLYGON((35000 389711.43170299736,40000 381051.177665153,50000 381051.177665153,55000 389711.43170299736,50000 398371.6857408418,40000 398371.6857408418,35000 389711.43170299736))"
67,"POLYGON((35000 407031.93977868615,40000 398371.6857408418,50000 398371.6857408418,55000 407031.93977868615,50000 415692.1938165305,40000 415692.1938165305,35000 407031.93977868615))"
68,"POLYGON((35000 424352.44785437494,40000 415692.1938165305,50000 415692.1938165305,55000 424352.44785437494,50000 433012.7018922193,40000 433012.7018922193,35000 424352.44785437494))"
69,"POLYGON((35000 441672.95593006373,40000 433012.7018922193,50000 433012.7018922193,55000 441672.95593006373,50000 450333.2099679081,40000 450333.2099679081,35000 441672.95593006373))"
70,"POLYGON((35000 458993.46400575247,40000 450333.2099679081,50000 450333.2099679081,55000 458993.46400575247,50000 467653.7180435969,40000 467653.7180435969,35000 458993.46400575247))"
